Date,Open,High,Low,Close,Volume
2024-08-16,137.5,144.76,137.5,140.59,18202302
2024-08-19,141.1,142.8,130.1,132.14,10718765
2024-08-20,136.95,143.75,136.02,141.23,13198857
2024-08-21,141.8,141.8,134.8,136.16,6172603
2024-08-22,136.26,138.9,132.5,137.43,7326570
2024-08-23,137.4,138.0,134.8,135.94,5457189
2024-08-26,135.97,141.6,135.04,137.9,11834662
2024-08-27,138.3,140.02,136.25,136.95,4549355
2024-08-28,137.5,141.99,136.1,139.4,10469788
2024-08-29,139.98,151.83,139.98,147.31,21233833
2024-08-30,147.31,151.39,146.46,147.67,9128088
2024-09-02,147.5,148.5,135.35,141.87,15688899
2024-09-03,141.0,146.1,140.01,142.25,8982189
2024-09-04,142.98,145.89,142.5,143.21,7332860
2024-09-05,144.0,145.3,142.12,142.44,3145142
2024-09-06,141.06,145.26,141.06,142.82,3779446
2024-09-09,143.2,144.44,139.02,140.0,3365409
2024-09-10,140.5,141.0,136.7,138.37,3909024
2024-09-11,139.9,140.0,136.0,136.54,6305843
2024-09-12,136.75,141.98,136.11,138.68,10445216
2024-09-13,140.99,142.0,136.25,137.29,5522881
2024-09-16,138.25,138.25,135.5,136.13,1426408
2024-09-18,136.15,139.49,132.1,133.24,7349095
2024-09-19,131.01,132.01,122.22,124.54,4360735
2024-09-20,124.5,133.85,121.0,131.78,10862499
2024-09-23,132.3,134.98,131.51,131.88,3459077
2024-09-24,132.49,132.8,127.2,128.79,4607266
2024-09-25,128.99,133.45,128.02,129.57,5946347
2024-09-26,131.5,132.0,129.0,129.55,2975162
2024-09-27,130.01,130.01,125.3,126.32,2443149
2024-09-30,129.75,131.85,128.51,130.16,6676132
2024-10-01,129.89,132.0,129.7,131.25,2995027
2024-10-02,131.5,135.89,131.49,133.85,8248430
2024-10-03,134.99,135.85,133.81,134.34,4447219
2024-10-04,135.54,146.89,135.39,142.95,19202944
2024-10-07,143.11,149.45,141.0,145.24,16176636
2024-10-08,143.0,147.2,142.75,143.19,11448759
2024-10-09,143.43,144.6,138.2,141.29,6439979
2024-10-10,140.0,140.0,134.25,136.44,4562091
2024-10-11,135.33,136.25,125.06,132.21,6412514
2024-10-14,133.6,135.9,133.0,134.41,2199877
2024-10-15,135.5,143.0,134.0,140.93,6210894
2024-10-16,141.6,141.88,137.6,138.84,2733887
2024-10-17,139.69,141.5,135.9,136.28,3379907
2024-10-18,137.0,137.95,135.25,136.23,2504521
2024-10-21,137.0,138.95,136.2,136.85,2039010
2024-10-22,137.49,139.35,136.97,137.64,3908070
2024-10-23,138.45,139.3,136.95,137.3,2012015
2024-10-24,138.0,138.66,136.63,136.86,1869798
2024-10-25,137.23,137.9,133.01,134.02,2422483
2024-10-28,134.0,138.0,132.5,133.78,3975706
2024-10-29,129.98,130.0,125.25,125.42,4323540
2024-10-30,125.42,127.0,119.12,122.22,3158502
2024-10-31,123.55,124.9,121.01,121.77,2047071
2024-11-01,122.19,124.5,121.2,124.01,1079304
2024-11-04,125.23,134.69,124.5,133.23,8650710
2024-11-05,134.4,134.61,129.0,129.71,3169119
2024-11-06,130.49,131.49,127.31,127.62,1899506
2024-11-07,127.63,130.8,125.01,129.66,2556635
2024-11-08,129.81,130.49,128.45,129.52,1097893
2024-11-11,130.0,130.0,127.2,128.14,863986
2024-11-12,128.25,129.48,127.07,127.99,722763
2024-11-13,127.99,128.0,126.8,127.04,761877
2024-11-14,127.2,130.0,127.2,127.7,1245600
2024-11-15,127.99,128.8,127.5,127.64,636880
2024-11-18,128.49,128.49,126.82,127.0,623325
2024-11-19,127.8,131.35,126.9,129.31,3398075
2024-11-20,130.0,136.99,129.8,131.73,9707958
2024-11-21,132.0,132.25,129.01,129.53,1599173
2024-11-22,130.0,133.5,127.8,129.06,3337122
2024-11-25,129.01,132.3,127.01,131.22,1908962
2024-11-26,130.01,133.15,123.0,125.07,2334336
2024-11-27,129.9,130.72,127.26,128.97,1217642
2024-11-28,129.7,138.0,128.15,134.19,7205587
2024-11-29,134.8,138.2,132.7,136.34,4916875
2024-12-02,137.55,143.4,137.55,142.47,7608940
2024-12-03,143.0,156.72,141.0,155.22,18458592
2024-12-04,157.0,170.74,156.5,168.65,13012847
2024-12-05,171.5,179.3,169.0,176.63,8822832
2024-12-06,176.0,194.29,176.0,194.29,9229541
2024-12-09,201.0,208.0,195.66,197.85,8273513
2024-12-10,196.0,197.84,178.07,178.07,7711382
2024-12-11,177.99,192.0,175.11,187.98,12013811
2024-12-12,187.88,206.78,185.1,189.43,25211043
2024-12-13,189.5,198.0,188.5,189.85,8149388
2024-12-16,191.94,196.49,188.0,189.94,6212847
2024-12-17,192.0,208.93,191.0,207.77,14371854
2024-12-18,214.0,224.0,195.86,203.02,15491332
2024-12-19,204.5,205.95,186.2,193.91,5824879
2024-12-20,194.0,198.7,190.01,197.36,2660926
2024-12-23,199.9,216.7,198.99,215.53,10266206
2024-12-24,216.99,223.1,207.0,210.38,8765161
2024-12-26,211.0,218.0,204.12,213.91,3834991
2024-12-27,218.0,218.5,213.9,215.74,3848039
2024-12-30,218.0,221.0,216.07,217.38,1497575
2024-12-31,218.7,228.49,216.01,220.0,5090891
2025-01-01,222.0,226.0,216.49,222.43,4690463
2025-01-02,224.0,227.8,221.51,222.89,2703007
2025-01-03,223.0,224.5,215.5,217.98,3144956
2025-01-06,218.3,220.0,210.0,210.97,2301398
2025-01-07,211.0,213.0,205.0,209.55,1700776
2025-01-08,210.48,216.5,207.99,212.82,2438606
2025-01-09,209.97,211.79,191.54,196.65,2565186
2025-01-10,182.0,201.0,176.99,189.64,15954589
2025-01-13,190.0,204.3,190.0,197.55,4214945
2025-01-14,199.0,202.6,193.5,200.29,3219264
2025-01-15,201.69,214.79,200.52,205.81,8437242
2025-01-16,206.0,207.0,199.1,200.9,2526028
2025-01-17,202.47,209.8,199.0,204.45,2814720
2025-01-20,205.0,208.55,199.0,201.24,3425103
2025-01-21,201.51,204.5,196.5,197.97,4171463
2025-01-22,199.0,200.25,194.0,194.83,2392566
2025-01-23,196.0,197.49,189.5,193.56,1736929
2025-01-24,196.0,203.89,194.07,200.75,3363897
2025-01-27,201.11,202.0,192.85,193.77,1674693
2025-01-28,195.0,196.49,192.0,195.01,1493954
2025-01-29,195.4,196.46,191.1,193.5,1811571
2025-01-30,194.94,195.0,189.11,191.84,2746528
2025-01-31,192.06,198.0,192.06,196.38,3145953
2025-02-03,197.51,198.87,192.0,192.46,1454027
2025-02-04,192.61,194.95,191.0,192.12,932577
2025-02-06,192.1,194.45,172.91,185.19,3332959
